net,length_um
_1140_,32.62µm
_2098_,32.52µm
_3125_,32.46µm
_0435_,32.44µm
_alu_i0.Datapath_i.reg_0.reg_out1\[11\],32.36µm
_0952_,32.3µm
_0703_,32.12µm
_2666_,32.08µm
_0187_,32µm
_1435_,31.96µm
_2920_,31.96µm
_1268_,31.94µm
_2270_,31.93µm
_2950_,31.92µm
_2278_,31.9µm
_3021_,31.8µm
_0261_,31.74µm
_1332_,31.64µm
_1520_,31.54µm
_2149_,31.53µm
_1191_,31.52µm
_0609_,31.48µm
_2159_,31.48µm
_2237_,31.48µm
_2157_,31.44µm
_1126_,31.42µm
_1936_,31.4µm
_0215_,31.3µm
_1197_,31.24µm
net41,31.24µm
_1851_,31.17µm
_2380_,31.12µm
_2298_,31.1µm
_1518_,31.08µm
_2897_,31.08µm
_2924_,31.08µm
_0353_,31.02µm
_0320_,30.96µm
_2923_,30.86µm
_1694_,30.74µm
_3036_,30.72µm
_1074_,30.7µm
_0000_,30.66µm
_0117_,30.64µm
_2216_,30.61µm
_1348_,30.585µm
_1557_,30.58µm
_2601_,30.58µm
_1646_,30.56µm
_2858_,30.5µm
_0436_,30.44µm
_1586_,30.4µm
_2399_,30.4µm
_2887_,30.39µm
_0252_,30.32µm
_2256_,30.26µm
_2825_,30.24µm
_0908_,30.16µm
net12,30.16µm
_1309_,30.1µm
_2056_,30.06µm
_2374_,30.06µm
_alu_i0.Datapath_i.reg_0.reg_out1\[13\],30.06µm
_2144_,30.025µm
_1439_,29.72µm
_1478_,29.655µm
_1190_,29.62µm
_1726_,29.56µm
_0199_,29.52µm
_2556_,29.52µm
_1243_,29.48µm
_0369_,29.46µm
_1130_,29.42µm
_2532_,29.4µm
_2733_,29.36µm
_1699_,29.335µm
_0848_,29.3µm
_0503_,29.29µm
_0608_,29.26µm
_0417_,29.2µm
_2620_,29.18µm
_0670_,29.16µm
_1554_,29.08µm
net45,29.08µm
_0523_,29.075µm
_1118_,29.06µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[3\],29.005µm
_2221_,28.94µm
_2319_,28.9µm
_3103_,28.86µm
_1254_,28.82µm
_2696_,28.74µm
_alu_i0.Datapath_i.fu_alu_33673_33851.out1\[5\],28.72µm
_1856_,28.7µm
_0878_,28.68µm
